Sample in Buffer,Sample in Window,TRIGGER,AD4030_BD_i/system_ila_0/U0/net_slot_0_axi_ar_cnt[1:0],AD4030_BD_i/system_ila_0/U0/net_slot_0_axi_araddr[7:0],AD4030_BD_i/system_ila_0/U0/net_slot_0_axi_arprot[2:0],AD4030_BD_i/system_ila_0/U0/net_slot_0_axi_aw_cnt[1:0],AD4030_BD_i/system_ila_0/U0/net_slot_0_axi_awaddr[7:0],AD4030_BD_i/system_ila_0/U0/net_slot_0_axi_awprot[2:0],AD4030_BD_i/system_ila_0/U0/net_slot_0_axi_b_cnt[1:0],AD4030_BD_i/system_ila_0/U0/net_slot_0_axi_bresp[1:0],AD4030_BD_i/system_ila_0/U0/net_slot_0_axi_r_cnt[1:0],AD4030_BD_i/system_ila_0/U0/net_slot_0_axi_rdata[31:0],AD4030_BD_i/system_ila_0/U0/net_slot_0_axi_rresp[1:0],AD4030_BD_i/system_ila_0/U0/net_slot_0_axi_wdata[31:0],AD4030_BD_i/system_ila_0/U0/net_slot_0_axi_wstrb[3:0],AD4030_BD_i/system_ila_0/U0/net_slot_0_axi_awvalid,AD4030_BD_i/system_ila_0/U0/net_slot_0_axi_aw_ctrl[1:0],AD4030_BD_i/system_ila_0/U0/net_slot_0_axi_awready,AD4030_BD_i/system_ila_0/U0/net_slot_0_axi_wvalid,AD4030_BD_i/system_ila_0/U0/net_slot_0_axi_w_ctrl[1:0],AD4030_BD_i/system_ila_0/U0/net_slot_0_axi_wready,AD4030_BD_i/system_ila_0/U0/net_slot_0_axi_b_ctrl[1:0],AD4030_BD_i/system_ila_0/U0/net_slot_0_axi_bvalid,AD4030_BD_i/system_ila_0/U0/net_slot_0_axi_bready,AD4030_BD_i/system_ila_0/U0/net_slot_0_axi_arvalid,AD4030_BD_i/system_ila_0/U0/net_slot_0_axi_ar_ctrl[1:0],AD4030_BD_i/system_ila_0/U0/net_slot_0_axi_arready,AD4030_BD_i/system_ila_0/U0/net_slot_0_axi_rvalid,AD4030_BD_i/system_ila_0/U0/net_slot_0_axi_r_ctrl[1:0],AD4030_BD_i/system_ila_0/U0/net_slot_0_axi_rready,AD4030_BD_i/system_ila_0/U0/net_slot_1_axi_ar_cnt[1:0],AD4030_BD_i/system_ila_0/U0/net_slot_1_axi_araddr[8:0],AD4030_BD_i/system_ila_0/U0/net_slot_1_axi_arprot[2:0],AD4030_BD_i/system_ila_0/U0/net_slot_1_axi_aw_cnt[1:0],AD4030_BD_i/system_ila_0/U0/net_slot_1_axi_awaddr[8:0],AD4030_BD_i/system_ila_0/U0/net_slot_1_axi_awprot[2:0],AD4030_BD_i/system_ila_0/U0/net_slot_1_axi_b_cnt[1:0],AD4030_BD_i/system_ila_0/U0/net_slot_1_axi_bresp[1:0],AD4030_BD_i/system_ila_0/U0/net_slot_1_axi_r_cnt[1:0],AD4030_BD_i/system_ila_0/U0/net_slot_1_axi_rdata[31:0],AD4030_BD_i/system_ila_0/U0/net_slot_1_axi_rresp[1:0],AD4030_BD_i/system_ila_0/U0/net_slot_1_axi_wdata[31:0],AD4030_BD_i/system_ila_0/U0/net_slot_1_axi_wstrb[3:0],AD4030_BD_i/system_ila_0/U0/net_slot_1_axi_aw_ctrl[1:0],AD4030_BD_i/system_ila_0/U0/net_slot_1_axi_awvalid,AD4030_BD_i/system_ila_0/U0/net_slot_1_axi_awready,AD4030_BD_i/system_ila_0/U0/net_slot_1_axi_wvalid,AD4030_BD_i/system_ila_0/U0/net_slot_1_axi_w_ctrl[1:0],AD4030_BD_i/system_ila_0/U0/net_slot_1_axi_wready,AD4030_BD_i/system_ila_0/U0/net_slot_1_axi_bvalid,AD4030_BD_i/system_ila_0/U0/net_slot_1_axi_b_ctrl[1:0],AD4030_BD_i/system_ila_0/U0/net_slot_1_axi_bready,AD4030_BD_i/system_ila_0/U0/net_slot_1_axi_arvalid,AD4030_BD_i/system_ila_0/U0/net_slot_1_axi_ar_ctrl[1:0],AD4030_BD_i/system_ila_0/U0/net_slot_1_axi_arready,AD4030_BD_i/system_ila_0/U0/net_slot_1_axi_r_ctrl[1:0],AD4030_BD_i/system_ila_0/U0/net_slot_1_axi_rvalid,AD4030_BD_i/system_ila_0/U0/net_slot_1_axi_rready,AR_Channel_(i1:s0)_(ps7_0_axi_periph_M01_AXI)[2:0],AR_Channel_(i1:s1)_(ps7_0_axi_periph_M00_AXI)[2:0],AW_Channel_(i1:s0)_(ps7_0_axi_periph_M01_AXI)[2:0],AW_Channel_(i1:s1)_(ps7_0_axi_periph_M00_AXI)[2:0],B_Channel_(i1:s0)_(ps7_0_axi_periph_M01_AXI)[2:0],B_Channel_(i1:s1)_(ps7_0_axi_periph_M00_AXI)[2:0],Interface_(i1:s0)_(ps7_0_axi_periph_M01_AXI)[2:0],Interface_(i1:s1)_(ps7_0_axi_periph_M00_AXI)[2:0],R_Channel_(i1:s0)_(ps7_0_axi_periph_M01_AXI)[2:0],R_Channel_(i1:s1)_(ps7_0_axi_periph_M00_AXI)[2:0],W_Channel_(i1:s0)_(ps7_0_axi_periph_M01_AXI)[2:0],W_Channel_(i1:s1)_(ps7_0_axi_periph_M00_AXI)[2:0],ila_1___slot_0___ps7_0_axi_periph_M01_AXI___Write_Transactions_0[15:0],ila_1___slot_0___ps7_0_axi_periph_M01_AXI___Write_Transactions_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,df,"Instruction Non-secure Unprivileged",0,df,"Instruction Non-secure Unprivileged",0,"OKAY",0,ffffffff,"OKAY",7ffddebf,b,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1df,"Instruction Non-secure Unprivileged",0,1df,"Instruction Non-secure Unprivileged",0,"OKAY",0,00000000,"OKAY",7ffddebf,b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Read Addr Cmds","No Read Addr Cmds","_","No Write Addr Cmds","_","No Write Responses","_","Inactive","No Read Data Beats","No Read Data Beats","_","No Write Data Beats","_","_"
1,1,0,0,df,"Instruction Non-secure Unprivileged",0,df,"Instruction Non-secure Unprivileged",0,"OKAY",0,ffffffff,"OKAY",7ffddebf,b,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1df,"Instruction Non-secure Unprivileged",0,1df,"Instruction Non-secure Unprivileged",0,"OKAY",0,00000000,"OKAY",7ffddebf,b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Read Addr Cmds","No Read Addr Cmds","_","No Write Addr Cmds","_","No Write Responses","_","Inactive","No Read Data Beats","No Read Data Beats","_","No Write Data Beats","_","_"
2,2,0,0,df,"Instruction Non-secure Unprivileged",0,df,"Instruction Non-secure Unprivileged",0,"OKAY",0,ffffffff,"OKAY",7ffddebf,b,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1df,"Instruction Non-secure Unprivileged",0,1df,"Instruction Non-secure Unprivileged",0,"OKAY",0,00000000,"OKAY",7ffddebf,b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Read Addr Cmds","No Read Addr Cmds","_","No Write Addr Cmds","_","No Write Responses","_","Inactive","No Read Data Beats","No Read Data Beats","_","No Write Data Beats","_","_"
3,3,0,0,df,"Instruction Non-secure Unprivileged",0,df,"Instruction Non-secure Unprivileged",0,"OKAY",0,ffffffff,"OKAY",7ffddebf,b,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1df,"Instruction Non-secure Unprivileged",0,1df,"Instruction Non-secure Unprivileged",0,"OKAY",0,00000000,"OKAY",7ffddebf,b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Read Addr Cmds","No Read Addr Cmds","_","No Write Addr Cmds","_","No Write Responses","_","Inactive","No Read Data Beats","No Read Data Beats","_","No Write Data Beats","_","_"
4,4,0,0,df,"Instruction Non-secure Unprivileged",0,df,"Instruction Non-secure Unprivileged",0,"OKAY",0,ffffffff,"OKAY",7ffddebf,b,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1df,"Instruction Non-secure Unprivileged",0,1df,"Instruction Non-secure Unprivileged",0,"OKAY",0,00000000,"OKAY",7ffddebf,b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Read Addr Cmds","No Read Addr Cmds","_","No Write Addr Cmds","_","No Write Responses","_","Inactive","No Read Data Beats","No Read Data Beats","_","No Write Data Beats","_","_"
5,5,0,0,df,"Instruction Non-secure Unprivileged",0,df,"Instruction Non-secure Unprivileged",0,"OKAY",0,ffffffff,"OKAY",7ffddebf,b,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1df,"Instruction Non-secure Unprivileged",0,1df,"Instruction Non-secure Unprivileged",0,"OKAY",0,00000000,"OKAY",7ffddebf,b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Read Addr Cmds","No Read Addr Cmds","_","No Write Addr Cmds","_","No Write Responses","_","Inactive","No Read Data Beats","No Read Data Beats","_","No Write Data Beats","_","_"
6,6,0,0,df,"Instruction Non-secure Unprivileged",0,df,"Instruction Non-secure Unprivileged",0,"OKAY",0,ffffffff,"OKAY",7ffddebf,b,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1df,"Instruction Non-secure Unprivileged",0,1df,"Instruction Non-secure Unprivileged",0,"OKAY",0,00000000,"OKAY",7ffddebf,b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Read Addr Cmds","No Read Addr Cmds","_","No Write Addr Cmds","_","No Write Responses","_","Inactive","No Read Data Beats","No Read Data Beats","_","No Write Data Beats","_","_"
7,7,0,0,df,"Instruction Non-secure Unprivileged",0,df,"Instruction Non-secure Unprivileged",0,"OKAY",0,ffffffff,"OKAY",7ffddebf,b,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1df,"Instruction Non-secure Unprivileged",0,1df,"Instruction Non-secure Unprivileged",0,"OKAY",0,00000000,"OKAY",7ffddebf,b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Read Addr Cmds","No Read Addr Cmds","_","No Write Addr Cmds","_","No Write Responses","_","Inactive","No Read Data Beats","No Read Data Beats","_","No Write Data Beats","_","_"
8,8,0,0,df,"Instruction Non-secure Unprivileged",0,df,"Instruction Non-secure Unprivileged",0,"OKAY",0,ffffffff,"OKAY",7ffddebf,b,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1df,"Instruction Non-secure Unprivileged",0,1df,"Instruction Non-secure Unprivileged",0,"OKAY",0,00000000,"OKAY",7ffddebf,b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Read Addr Cmds","No Read Addr Cmds","_","No Write Addr Cmds","_","No Write Responses","_","Inactive","No Read Data Beats","No Read Data Beats","_","No Write Data Beats","_","_"
